objectid;reg;dep;cv;codgeo;libgeo;p16_pop;p17_pop;p18_pop;p19_pop;p20_pop;p21_pop;p22_pop;p23_pop;p24_pop
127935;11;92;9223;92033;Garches;17769;17662;17762;17663;17869;17762;17795;17557;17898
142775;11;92;9207;92032;Fontenay-aux-Roses;22378;22946;23963;24117;24564;25342;25531;25174;24772
126801;11;92;9297;92025;Colombes;84577;84392;85199;85368;85177;86052;86534;86775;88870
127214;11;92;9203;92007;Bagneux;38520;38817;39487;39763;40918;40812;40936;41967;43699
127435;11;92;9218;92046;Malakoff;30304;30428;29897;29973;30720;30711;30950;31230;30292
128582;11;92;9295;92004;Asnières-sur-Seine;86020;86799;86512;85973;85191;85946;87143;88004;89662
127720;11;92;9208;92023;Clamart;52203;52457;52645;52528;52971;52926;52925;53179;54491
130490;11;92;9217;92048;Meudon;45043;45507;45317;45328;45352;45748;45818;45825;46342
119768;11;92;9205;92072;Sèvres;23404;23206;23332;23675;23507;23251;23463;23108;22618
116106;11;92;9211;92009;Bois-Colombes;28561;28514;28043;28323;28239;28468;28841;29555;29765
118855;11;92;9299;92050;Nanterre;92227;93509;93742;94258;95105;96807;96277;95782;97351
117671;11;92;9221;92051;Neuilly-sur-Seine;62346;62075;60910;60580;60361;59940;59599;59388;59267
120286;11;92;9223;92064;Saint-Cloud;29109;29360;29362;30193;29973;30038;30012;29560;29727
120368;11;92;9298;92026;Courbevoie;85523;84658;83136;81720;81719;82198;81558;82074;81516
119043;11;92;9296;92012;Boulogne-Billancourt;116794;116927;117931;119645;120071;121334;121583;120911;119808
117957;11;92;9214;92036;Gennevilliers;43219;43376;44551;46653;46907;47702;48530;49880;49410
120613;11;92;9203;92014;Bourg-la-Reine;19712;19881;20249;20531;20667;20769;21050;20974;20810
141767;11;92;9220;92073;Suresnes;48066;48526;48565;48620;48264;48763;49311;49482;49104
142647;11;92;9211;92035;La Garenne-Colombes;28498;29072;29682;29248;29169;29430;29642;29624;29932
134940;11;92;9223;92077;Ville-d'Avray;11266;11419;11422;11509;11453;11050;11225;10883;10694
132495;11;92;9223;92076;Vaucresson;8816;8747;8688;8628;8667;8660;8683;8627;8566
133960;11;92;9222;92063;Rueil-Malmaison;79762;79204;78794;78195;78152;77986;78317;78265;78186
136808;11;92;9208;92075;Vanves;28170;27783;27806;27846;27729;27466;27846;27871;28014
134179;11;92;9207;92020;Châtillon;35964;37089;37159;36779;37355;37010;36639;36392;36777
137135;11;92;9206;92019;Châtenay-Malabry;32623;33067;33330;33016;33286;34170;34021;34383;34898
134494;11;92;9206;92060;Le Plessis-Robinson;28500;28911;28974;29028;29100;29665;30061;29562;29228
134567;11;92;9214;92078;Villeneuve-la-Garenne;25466;25007;24433;24248;23771;24023;24097;24592;25371
126354;11;92;9209;92024;Clichy;59255;59783;60435;60387;61070;62485;63089;62933;64849
124040;11;92;9213;92062;Puteaux;43891;44506;45146;44662;44645;44837;45157;44009;43672
121610;11;92;9217;92022;Chaville;19717;19619;20001;20322;20520;20702;20771;20524;19991
124414;11;92;9223;92047;Marnes-la-Coquette;1673;1712;1751;1815;1810;1792;1774;1756;1745
110416;11;92;9201;92002;Antony;61727;61603;61711;62210;62570;62858;62760;62906;63232
111195;11;92;9216;92044;Levallois-Perret;65264;65374;64195;63462;64379;65817;66082;67258;68009
113812;11;92;9218;92049;Montrouge;49656;48954;48991;49128;50260;48734;48352;47907;47657
112666;11;92;9215;92040;Issy-les-Moulineaux;65662;67360;69093;68395;68451;68260;67981;67937;68580
115398;11;92;9206;92071;Sceaux;19718;19520;19355;19479;19344;19606;20004;20359;20488
